assigned_to,title,published,url,video_id,channel_id,full_transcript_length,baseline_summary,rag_summary,human_summary,rag_flan_t5_lg,rag_flan_t5_after_gemini_2.5flash,open-router-gpt-oss-20b,quality_of_baseline,quality_of_rag,quality_of_human,quality_of_rag_flan_t5_lg,quality_rag_flan_t5_after_gemini_2.5flash,quality_of_open-router-gpt-oss-20b,relevance_of_baseline,relevance_of_rag,relevance_of_human,relevance_of_rag_flan_t5_lg,relevance_of_rag_flan_t5_after_gemini_2.5flash,relevance_of_open-router-gpt-oss-20b,informative_of_baseline,informative_of_rag,informative_of_human,informative_of_rag_flan_t5_lg,informative_of_rag_flan_t5_after_gemini_2.5flash,informative_of_open-router-gpt-oss-20b
Yingying,What Is Neuralink??! - TDBS 22 April 2017,2017-04-23 11:37:29,What Is Neuralink??! - TDBS 22 April 2017,ToZyCA0uvoI,UCr8O8l5cCX85Oem1d18EezQ,10811,Daniel Burke is standing up and doing this live show on YouTube. Usually I do it in my car. If you're watching on YouTube you can see all this. That's in the sun. Now that's way too hot.,"You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary. Today's workout focused on handstands.","A vlog video by Daniel Burke, overall its a discussion of what Neuralink is and how it works.",Daniel Burke is doing a live show on YouTube.,Elon Musk has started a company called Neuralink. He's putting together an elaborate team of some of the smartest people in the world. And what the company wants to do is find a way to link the human brain with a super powerful or super intelligent artificial intelligence.,"Day 81 of the Daniel Burke Show was filmed live on YouTube in a sunny standing‑up set,",1,1,4,3,4,2,1,1,5,1,5,2,1,1,4,1,4,1
Yingying,[ML News] Hugging Face course | GAN Theft Auto | AI Programming Puzzles | PyTorch 1.9 Released,2021-06-24 12:35:09,https://youtu.be/6_q9DbX35kk,6_q9DbX35kk,UCZHmQk67mSJgfCCTn7xBfew,13409,Huggingface releases a course you can now play GTA inside of an AI's mind and spot turns one. Facebook is testing AI to get you to stop fighting in its group CNN business sites.,Huggingface releases a course you can now play GTA inside of an AI's mind and spot turns one. Uber engineering blog has a new post up about how Uber switched from Xgas to to beat other at least single GPU models by quite a bit.,"A ML News video that discusses Hugginf Face, how Facebook uses AI to help moderators, Mcdonalds using AI in the drive through and how UBS CEO says AI won't replace humans.","Huggingface the famous NLP startup releases a course that teaches you how to use their models, libraries and other code they release.","I'm a big fan of this show. It's a lot of fun. I've got a few things to talk about, but I'd like to start off with a little bit about the show itself. First of all, it's an irregular show, so you have to be a data scientist or data scientist to watch it. Second, there are a couple of things that you can learn from the show. First, there is a GTA version that is played entirely in the mind of a neural network. Third, Facebook is testing AI to get you to stop fighting in its group CNN business sites.","Hugging Face has launched a free, hands‑on course that guides programmers through transformers, fine‑tuning, datasets, tokenizers, and advanced training techniques, making NLP accessible for developers and data scientists. Meanwhile, a new GTA‑style demo lets a neural network generate the entire game world from scratch, demonstrating physics learning without explicit modeling, though it requires a CUDA‑capable GPU. Facebook is testing AI‑driven moderation tools to alert admin moderators to toxic arguments in groups, sparking concerns about potential bias, while the British‑built autonomous vessel Mayflower 400 attempted a transatlantic crossing but had to return due to technical issues, highlighting the practical challenges of true end‑to‑end maritime autonomy.",3,2,5,4,3,4,2,2,5,3,2,4,2,2,5,2,2,5
Yingying,I TRAINED AN AI TO SOLVE 2+2 (w/ Live Coding),2020-08-06 16:30:14,https://youtu.be/udS2OPohs_s,udS2OPohs_s,UCZHmQk67mSJgfCCTn7xBfew,9454,Today we're going to build an AI that's going to answer the question what is 2 plus 2. We'll train nine thousand times 64 images and the air is gonna learn what two plus two is alright. We need a labeled data,"You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary.",An implementation  of someone uses Generative Adervarial Network to train an AI to solve 2+2.,The CUDA-based AI model we're going to build is a generative adversarial network.,We're going to build an AI that's going to answer the question what is 2 plus 2 now first thing we need is the model itself now the model is composed of a generator and a discriminator the generator is right here blink-blonk let's plop that in here that looks good,"The speaker mockingly critiques the “2 + 2 = 4 or 5” debate, declaring that AI must replace humans to answer the question. He outlines a ludicrous plan to build a GAN in PyTorch, using the MNIST digit dataset to “train” the model on synthetic images of the expression “2 + 2,” even fabricating the plus sign and labeling training pairs with simple arithmetic. The result is a comedic, technically confused script demonstrating how not to design a machine‑learning solution.",2,1,4,3,2,4,4,1,5,3,4,4,2,1,3,3,3,4
Yingying,Code with me (live): How to make your first Kaggle submission from scratch!,2018-12-02 5:03:43,https://youtu.be/f1y9wDDxWnA,f1y9wDDxWnA,UCr8O8l5cCX85Oem1d18EezQ,104808,Kashuk is a machine learning engineer at the University of Michigan. He uses Kaggle to explore a data set from scratch. Kashuk uses pandas to learn more about data analysis.,"You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary.","A livestream video where the creator walks through an exploratory data analysis (EDA) project using the Titanic dataset from Kaggle. The session covers downloading the dataset, exploring it in a Jupyter notebook, and making a Kaggle submission. The host also explains what EDA is, how to approach a dataset from scratch, and gives step-by-step reasoning for beginners learning pandas and machine learning basics, with shoutouts to Coursera’s Applied Data Science with Python course that inspired the tutorial.",The Daniel Burke Show is live on YouTube.,Kaggle: Titanic Machine Learning from Disaster - Part 1 - Duration: 2:29.08 - 1:28.,"The presenter launches his first live stream—facing connection hiccups but keeping the chat open—while outlining a step‑by‑step tutorial on how to perform exploratory data analysis on Kaggle’s Titanic dataset and build a winning submission. He explains the purpose of EDA for uncovering patterns before modeling, notes that the code will be released on GitHub, and thanks Coursera for sponsorship and a free trial offer. The session is interactive, with viewers encouraged to ask questions and provide feedback as he demonstrates the process in real time.",4,1,5,3,1,5,3,1,5,1,1,4,4,1,3,1,1,3
Yingying,"Loading in your own data - Deep Learning basics with Python, TensorFlow and Keras p.2",2018-08-18 13:50:58,https://youtu.be/j-3vuBynnOE,j-3vuBynnOE,UCfzlCWGWYyIQ0aLC5w48gBQ,16690,"Part two of our deep learning with Python, TensorFlow, and Keras tutorial. In this tutorial what we're going to be talking about is how to load in an outside data set. The data set we're using is this","This tutorial is part three of our deep learning with Python, TensorFlow, and Keras tutorial. In this tutorial we're going to be talking about how to load in an outside data set. In the next tutorial we'll actually train the neural network.","A tutorial video on Deep Learning with Python, TensorFlow, and Keras focusing on loading and preprocessing an external dataset, specifically the Cats vs. Dogs dataset from Microsoft/Kaggle","In this tutorial, we're going to be talking about how to load in an outside data set.",We're going to use matplotlib to show the image we're gonna use OS to iterate through directories and join paths cv2 to show images of dog and cat,"In this second part of the tutorial, the instructor shows how to download and explore the Kaggle cats‑and‑dogs dataset, importing NumPy, Matplotlib, OpenCV, and OS to iterate through the images. Using OpenCV, each image is read, converted to grayscale to reduce data size, displayed with Matplotlib, and then resized to a uniform 50×50 pixel format to simplify training a neural network. The walkthrough highlights common preprocessing steps—grayscale conversion, resizing, and dataset inspection—before moving on to model training.",4,4,4,3,2,4,3,3,4,2,3,4,3,3,5,2,3,5
Yingying,5 Handstand Progression Exercises You Should Be Doing,2017-11-21 10:57:33,https://youtu.be/wlLydjaHSWc,wlLydjaHSWc,UCr8O8l5cCX85Oem1d18EezQ,8173,"Bilzy uses a roller to open up the thoracic so he can lock out when he's holding his body overhead. He also uses a barbell to pancake his calf, removing all the soft tissue.","You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary. Use the weekly Newsquiz to test your knowledge of stories you saw on CNN.","A fitness training video focused on handstand progression exercises. The hosts demonstrate mobility and strength drills to improve shoulder, thoracic spine, and wrist flexibility, including foam rolling, triceps and lat stretches with a band, and wrist prep routines.","Then, he explains how to activate your glutes.","Open up the shoulders, open up the thoracic. Open up your triceps. Open your lats. Take a step back with your left foot. Make sure your wrists are working.","The video opens with Bilzy explaining a calf “pancaking” technique he learned online to improve ankle mobility, before cutting to a handstand workshop. The instructor leads the group through a series of mobility and warm‑up drills—thoracic spine rolls, triceps and lat stretches, wrist rotations and finger‑push‑ups—followed by wall handstand progressions that emphasize staying hollow, keeping the back straight, and building stability. The session balances mobility work with concrete body‑weight drills to prepare participants for upside‑down practice.",3,1,4,1,2,4,4,1,4,1,2,4,4,1,5,1,2,4
Yingying,Data leakage during data preparation? | Using AntiPatterns to avoid MLOps Mistakes,2021-08-10 10:00:08,https://youtu.be/8_UBDTHAHqY,8_UBDTHAHqY,UCobqgqE4i5Kf7wrxRxhToQA,6541,"Machine learning is not just about putting machine learning models into production, but also about maintaining the whole operation. The paper guides us through anti-patterns ranging from technical errors to cases of missing knowledge about the context in which machine learning is",This week's episode features an expert summarizer. Use the weekly Newsquiz to test your knowledge of stories you saw on CNN Tech.,"An AI Coffee Break with Letitia video that explains the concept of data leakage in MLOps, based on the paper “Using AntiPatterns to Avoid MLOps Mistakes.”",Ms. Coffee Bean read a paper about machine learning and machine learning methods.,"I-pattern to be the most interesting one. But the write-up was quite dense, since the paper is made for experts. Well, let's make it accessible to anyone by explaining this together. Alright, Ms. Coffee Bean, this paper is sharing lessons about MLOps, which is all about putting machine learning models into production, but also about maintaining the whole operation. However, the lessons of this paper are not about what to do and good strategies and patterns, but more about what not to do, so about the antipatterns.","The speaker recruits Ms. Coffee Bean to unpack a paper on MLOps antipatterns, arguing that the real value lies in understanding what *not* to do when putting models into production.  Focusing on the data leakage antipatterns, they detail four sneaky ways peekaboo, temporal leakage, oversampling, and œmetrics from beyond that can inflate performance by contaminating the train test split, emphasizing that proper data separation, domain knowledge of every feature, and a strict order of preprocessing steps are essential to avoid overoptimistic results.  Though drawn from finance, the guidelines are broadly applicable across any machine learning deployment.",3,4,4,3,3,4,3,3,4,2,4,4,3,4,4,1,3,4
Yingying,Machine Learning Holidays Live Stream,2021-12-27 14:18:58,https://youtu.be/-0ce136MdsA,-0ce136MdsA,UCZHmQk67mSJgfCCTn7xBfew,29789,"Dwi'n rhaid i mi gael sian ar y cyfnod, os na fyddai ddim yn gallu ychwanegu chi. I un adeg, rydyn ni'","You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary. The Hebbian non-Hebbian distinction was, do we learn the things like GPT three, but with a special focus on French.","A livestream video by Yannic Kilcher continuing his previous session on training a question-generation model using Hugging Face and Weights & Biases. The stream focuses less on model theory and more on the “plumbing” ,saving, loading, and managing models and datasets","Then, we'll freeze the learning rules.","Am ddysgu'r model generig. Rydym yn ymwneud Ã¢'r rhain. Roeddech chi'n cyfrif ar y model, oherwyddi hyperparameter, ond 1000 data points.","The speaker discusses training a language model (likely a pre‑trained T5) on a small dataset of about 1,000 data points, experimenting with hyper‑parameters and training for a few epochs while splitting the",2,1,4,1,1,2,1,1,3,1,1,3,1,1,3,1,1,4
Yingying,Author Interview - Transformer Memory as a Differentiable Search Index,2022-04-17 22:14:08,https://youtu.be/C7mUYocWdG0,C7mUYocWdG0,UCZHmQk67mSJgfCCTn7xBfew,39004,This is an interview with the authors of the paper transformer memory as a differentiable search index. Yi Tei and Don Metzler talk about the research project itself and what went well and what didn't.,"This is an interview with the authors of the paper transformer memory as a differentiable search index. During this interview, you will learn much more about the paper itself but also the research project itself what went well what didn't and what the authors think of the future of the field. As always, if you like content like this, consider sharing it out, leave a like if you liked it and leave a comment to let me know what you think.","In this interview, Yannic Kilcher speaks with Yi Tay and Donald Metzler about their paper “Transformer Memory as a Differentiable Search Index.” They explain how transformers can directly store and retrieve documents from their parameters, replacing traditional search indexes with a fully differentiable system.",This is an interview with the authors of the paper transformer memory as a differentiable search index.,"I'm here with Yi Tei and Don Metzler, who are authors of the paper transformer memory as a differentiable search index which I find really cool, really inspiring and very happy that you are here.","The interview discusses the authors’ paper on “Transformer Memory as a Differentiable Search Index,” highlighting how they explored storing entire datasets within transformer weights to test the model’s ability to memorize and retrieve documents. They explain the idea emerged from examining transformers’ memorization capabilities and from a broader vision of applying modern NLP to information retrieval, aiming to build a model that understands relationships between tokens and entire documents. The conversation also touches on the research process, motivations, and future directions for using transformer-based indices in search tasks.",4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4
Yingying,Transformers are RNNs: Fast Autoregressive Transformers with Linear Attention (Paper Explained),2020-07-04 12:39:13,https://youtu.be/hAooAOFRsYc,hAooAOFRsYc,UCZHmQk67mSJgfCCTn7xBfew,38086,"Transformers or RNNs, fast autoregressive transformers with linear attention by Angelos Kateropoulos, Apor Vias, Nikolaos Papas and Francois Fleuret. They also show that in the case of aut","This is an interview with the authors of the paper transformer memory as a different search index. The good thing about a transformer is that in such a sequence, it you can basically mainly look at the video attention is all you need. You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary.","A video on Fast Autoregressive Transformers with Linear Attention that explains how the authors reinterpret transformer attention as a kernel-based linear operation, reducing computational cost from quadratic to linear.","This video is about transformers or RNNs, fast autoregressive transformers with linear attention by Angelos Kateropoulos, Apor Vias, Nikolaos Papas and Francois Fleuret.","Ent to a special kind of RNN. So yeah, that's what this paper is about.","The speaker explains a recent paper on fast autoregressive transformers that use linear attention by interpreting the attention mechanism as a kernel, making the transformer an order‑of‑magnitude faster linear transformer and essentially equivalent to an RNN. They briefly recap how transformers work—generating key, query, and value vectors for each token, computing a softmaxed inner product to aggregate information from all tokens across layers. The video also touches on the broader context of transformer models (BERT, GPT) and the benefits of community feedback.",3,4,4,4,1,4,4,3,3,4,1,4,4,3,3,3,1,4
